"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PGD",0,0.429573677032603,0.848,0.731,0
"FGR",0,0.527170185230056,0.776,0.55,0
"LAPTM5",0,0.26275780524016,0.983,0.995,0
"RPS8",0,0.382729130707543,0.989,0.995,0
"PRDX1",0,0.364428378853473,0.976,0.992,0
"SSBP3",0,0.407229261948118,0.272,0.081,0
"DNASE2B",0,0.532669204863999,0.416,0.156,0
"CSF1",0,0.422872168669642,0.39,0.172,0
"CYP1B1",0,0.962640393935217,0.219,0.003,0
"LIMS1",0,0.499085569908013,0.762,0.575,0
"NRP2",0,0.630001162166744,0.545,0.177,0
"TNS1",0,0.27867760146392,0.302,0.084,0
"BASP1",0,0.271253260492303,0.195,0.039,0
"HEXB",0,0.478703950777306,0.947,0.945,0
"CDKN1A",0,0.653173217301022,0.387,0.142,0
"TREM2",0,0.825289849225101,0.766,0.486,0
"PLA2G7",0,0.492916092500313,0.251,0.023,0
"SGK1",0,0.499956380399702,0.511,0.236,0
"FAM20C",0,0.278158049673875,0.339,0.13,0
"ACTB",0,0.497647266558511,0.994,1,0
"NCF1",0,0.967123714354173,0.87,0.646,0
"CYBB",0,0.704915348576462,0.943,0.857,0
"RPL39",0,0.522263126610678,0.989,0.995,0
"ATP6V0D2",0,0.491462943868113,0.353,0.075,0
"PABPC1",0,0.341480979430171,0.98,0.985,0
"FBP1",0,0.579696526243255,0.973,0.989,0
"TXN",0,0.490631757169393,0.973,0.982,0
"GSN",0,0.983798964922239,0.921,0.768,0
"LIPA",0,1.29875891679007,0.879,0.691,0
"CD9",0,0.72517575742277,0.978,0.973,0
"A2M",0,0.412073815652685,0.355,0.145,0
"AC022509.2",0,0.289872210141668,0.243,0.046,0
"TPT1",0,0.479940238010784,0.998,1,0
"TDRD3",0,0.534134059721624,0.477,0.202,0
"EVL",0,0.450856158691938,0.926,0.879,0
"WARS",0,0.437499527569612,0.729,0.531,0
"C15orf48",0,0.648042575916574,0.364,0.105,0
"BCL2A1",0,0.603136878561426,0.88,0.756,0
"IGSF6",0,0.622919524749638,0.914,0.818,0
"OTOA",0,0.325894801861006,0.302,0.078,0
"ITGAX",0,0.489830291840359,0.678,0.433,0
"ACTG1",0,0.367549180398659,0.986,0.994,0
"MATK",0,0.233099742284205,0.117,0.003,0
"ACP5",0,0.524327024476415,0.983,0.996,0
"GDF15",0,0.40171661610357,0.181,0.035,0
"KIAA0930",0,0.459360204055643,0.657,0.444,0
"CSTB",0,0.485687998206871,0.991,0.999,0
"SLC2A3",1.91226654232135e-303,0.321443506145007,0.399,0.183,3.8340944173543e-299
"ATP6V1F",6.81479063752348e-297,0.319824543293694,0.97,0.973,1.36636552282346e-292
"SQOR",2.31231885879053e-296,0.414703387057688,0.828,0.704,4.63619931187502e-292
