"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016042","GO:0016042","lipid catabolic process","15/131","343/18866",1.64081797171595e-08,4.17260010207366e-05,3.5096232826598e-05,"FABP3/HEXB/LIPA/CES1/ASAH1/ADTRP/CYP1B1/FUCA1/ABHD2/IDH1/CYP27A1/NCEH1/GM2A/HPGD/DDHD1",15
"GO:0045454","GO:0045454","cell redox homeostasis","7/131","59/18866",1.67348294400646e-07,0.000152011245165917,0.000127858455689361,"PRDX1/NCF1/CYBB/TXN/RAC2/TXNRD1/GLRX",7
"GO:0043312","GO:0043312","neutrophil degranulation","16/131","487/18866",2.75266193717574e-07,0.000152011245165917,0.000127858455689361,"FGR/HEXB/CYBB/GSN/LTA4H/ITGAX/CSTB/EEF1A1/ASAH1/FUCA1/IDH1/CLEC12A/GM2A/TMEM30A/FOLR3/MGST1",16
"GO:0045453","GO:0045453","bone resorption","7/131","64/18866",2.96089318045922e-07,0.000152011245165917,0.000127858455689361,"ATP6AP1/DCSTAMP/ACP5/RAC2/CA2/UBASH3B/TFRC",7
"GO:0002283","GO:0002283","neutrophil activation involved in immune response","16/131","490/18866",2.98881724667552e-07,0.000152011245165917,0.000127858455689361,"FGR/HEXB/CYBB/GSN/LTA4H/ITGAX/CSTB/EEF1A1/ASAH1/FUCA1/IDH1/CLEC12A/GM2A/TMEM30A/FOLR3/MGST1",16
"GO:0048771","GO:0048771","tissue remodeling","10/131","178/18866",4.67617082021907e-07,0.000198191706596952,0.000166701387836582,"ATP6AP1/DCSTAMP/LIPA/ACP5/RAC2/TGM2/MDM2/CA2/UBASH3B/TFRC",10
"GO:0006413","GO:0006413","translational initiation","10/131","192/18866",9.36376431252893e-07,0.000340172180668015,0.000286122843354267,"RPL39/PABPC1/RPS8/RPS13/RPS26/RPL34/EIF1/RPS28/NPM1/RPS19",10
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","8/131","120/18866",1.90879585863355e-06,0.000596966797252901,0.000502115831702255,"RPL39/PABPC1/RPS8/RPS13/RPS26/RPL34/RPS28/RPS19",8
"GO:0001894","GO:0001894","tissue homeostasis","11/131","261/18866",2.11274131941648e-06,0.000596966797252901,0.000502115831702255,"PRDX1/CSF1/ATP6AP1/DCSTAMP/LIPA/ACP5/RAC2/CA2/UBASH3B/ACTB/TFRC",11
"GO:0002763","GO:0002763","positive regulation of myeloid leukocyte differentiation","6/131","58/18866",3.00768623573321e-06,0.000763608735930276,0.000642280336697361,"CSF1/TREM2/ATP6AP1/DCSTAMP/CA2/EVI2B",6
"GO:0046849","GO:0046849","bone remodeling","7/131","91/18866",3.30306570791704e-06,0.000763608735930276,0.000642280336697361,"ATP6AP1/DCSTAMP/ACP5/RAC2/CA2/UBASH3B/TFRC",7
"GO:0033572","GO:0033572","transferrin transport","5/131","36/18866",4.74191625847787e-06,0.00100133871045301,0.000842237829186625,"ATP6AP1/ATP6V0D2/ATP6V1F/ATP6V1B2/TFRC",5
"GO:0030316","GO:0030316","osteoclast differentiation","7/131","98/18866",5.4231377265998e-06,0.00100133871045301,0.000842237829186625,"CSF1/TREM2/ATP6AP1/DCSTAMP/CA2/UBASH3B/TFRC",7
"GO:0044242","GO:0044242","cellular lipid catabolic process","10/131","236/18866",5.96279729134798e-06,0.00100133871045301,0.000842237829186625,"FABP3/HEXB/ASAH1/ADTRP/CYP1B1/FUCA1/ABHD2/IDH1/GM2A/HPGD",10
"GO:0046466","GO:0046466","membrane lipid catabolic process","5/131","38/18866",6.24373338040547e-06,0.00100133871045301,0.000842237829186625,"HEXB/ASAH1/CYP1B1/FUCA1/GM2A",5
"GO:0006740","GO:0006740","NADPH regeneration","4/131","18/18866",6.30020423407318e-06,0.00100133871045301,0.000842237829186625,"PGD/G6PD/TALDO1/IDH1",4
"GO:0045780","GO:0045780","positive regulation of bone resorption","4/131","19/18866",7.93738355851985e-06,0.00112137591051755,0.000943202537480253,"ATP6AP1/DCSTAMP/CA2/TFRC",4
"GO:0046852","GO:0046852","positive regulation of bone remodeling","4/131","19/18866",7.93738355851985e-06,0.00112137591051755,0.000943202537480253,"ATP6AP1/DCSTAMP/CA2/TFRC",4
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","7/131","105/18866",8.57073593552628e-06,0.00114712534126544,0.000964860688143457,"RPL39/RPS8/RPS13/RPS26/RPL34/RPS28/RPS19",7
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","7/131","109/18866",1.09655003919633e-05,0.00133924145262957,0.0011264518209919,"RPL39/RPS8/RPS13/RPS26/RPL34/RPS28/RPS19",7
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","8/131","152/18866",1.10594064118053e-05,0.00133924145262957,0.0011264518209919,"RPL39/RPS8/BCAP31/RPS13/RPS26/RPL34/RPS28/RPS19",8
"GO:0045124","GO:0045124","regulation of bone resorption","5/131","43/18866",1.16456467782688e-05,0.00134613089805171,0.00113224661499723,"ATP6AP1/DCSTAMP/CA2/UBASH3B/TFRC",5
