"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043312","GO:0043312","neutrophil degranulation","29/166","487/18866",2.97941085446901e-16,5.11225474099643e-13,3.76637148116901e-13,"CAMP/MME/HLA-C/HLA-B/RNASET2/CAT/FTH1/GSTP1/LAMTOR1/CTSC/LYZ/SERPINA1/B2M/GRN/CFD/TYROBP/FTL/PYCARD/LGALS3/HP/GAA/GMFG/BST1/BST2/PECAM1/ALOX5/SERPINB6/MCEMP1/PLAC8",29
"GO:0002283","GO:0002283","neutrophil activation involved in immune response","29/166","490/18866",3.50274391298146e-16,5.11225474099643e-13,3.76637148116901e-13,"CAMP/MME/HLA-C/HLA-B/RNASET2/CAT/FTH1/GSTP1/LAMTOR1/CTSC/LYZ/SERPINA1/B2M/GRN/CFD/TYROBP/FTL/PYCARD/LGALS3/HP/GAA/GMFG/BST1/BST2/PECAM1/ALOX5/SERPINB6/MCEMP1/PLAC8",29
"GO:0060333","GO:0060333","interferon-gamma-mediated signaling pathway","11/166","91/18866",4.52169518608978e-10,4.39960941606535e-07,3.24134149655488e-07,"PPARG/HLA-C/HLA-B/OASL/B2M/HLA-DRA/GBP2/HLA-DRB1/HLA-F/HLA-DQB1/HLA-DQA2",11
"GO:0010876","GO:0010876","lipid localization","20/166","440/18866",2.0315530515559e-09,1.48252583937292e-06,1.09222707482334e-06,"PPARG/ABHD5/INHBA/FABP4/LAMTOR1/RBP4/LIMA1/ATP10A/SELENOM/TSPO/ABCG1/THBS1/IRS2/APOC1/LRP1/APOL4/LPL/PRELID1/APOL1/PNPLA2",20
"GO:0072593","GO:0072593","reactive oxygen species metabolic process","16/166","288/18866",5.54770493249566e-09,3.23875013959097e-06,2.3860970899134e-06,"AIF1/CAT/GSTP1/TYROBP/TSPO/HP/THBS1/PRDX5/DDAH2/SOD1/GCHFR/POR/BST1/NCF4/AKR1C3/ALOX5",16
"GO:0034341","GO:0034341","response to interferon-gamma","13/166","202/18866",2.83558845416309e-08,1.37951378295034e-05,1.01633459857109e-05,"PPARG/HLA-C/HLA-B/AIF1/OASL/B2M/HLA-DRA/GBP2/HLA-DRB1/BST2/HLA-F/HLA-DQB1/HLA-DQA2",13
"GO:1905952","GO:1905952","regulation of lipid localization","12/166","171/18866",3.79575224333682e-08,1.58282868547145e-05,1.16612358393039e-05,"PPARG/ABHD5/LAMTOR1/TSPO/ABCG1/THBS1/IRS2/APOC1/LRP1/LPL/PRELID1/PNPLA2",12
"GO:0006869","GO:0006869","lipid transport","17/166","393/18866",7.27870554698239e-08,2.45263985088459e-05,1.80694297447115e-05,"PPARG/INHBA/FABP4/LAMTOR1/RBP4/LIMA1/ATP10A/SELENOM/TSPO/ABCG1/THBS1/IRS2/APOC1/LRP1/APOL4/PRELID1/APOL1",17
"GO:0071346","GO:0071346","cellular response to interferon-gamma","12/166","182/18866",7.5620961486678e-08,2.45263985088459e-05,1.80694297447115e-05,"PPARG/HLA-C/HLA-B/AIF1/OASL/B2M/HLA-DRA/GBP2/HLA-DRB1/HLA-F/HLA-DQB1/HLA-DQA2",12
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","13/166","240/18866",2.13028752594599e-07,6.17813965325942e-05,4.55164505205784e-05,"IGFBP2/CD74/AIF1/CD81/GSTP1/IGF1/TYROBP/PYCARD/LGALS3/IRS2/HLA-DRB1/BST1/BST2",13
