"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042277","GO:0042277","peptide binding","19/166","308/18352",4.99264731154979e-11,2.29162511600135e-08,1.87618430549818e-08,"712/8685/5468/4311/4043/5480/972/3107/3106/3624/847/2950/29953/9445/3122/4035/3123/3134/3119",19
"GO:0033218","GO:0033218","amide binding","20/166","381/18352",2.66901430483361e-10,6.12538782959315e-08,5.01493740434527e-08,"712/8685/5468/4311/4043/5480/972/3107/3106/3624/847/2950/29953/9445/3122/4035/3123/2348/3134/3119",20
"GO:0042605","GO:0042605","peptide antigen binding","6/166","31/18352",3.05424740343695e-07,4.67299852725853e-05,3.82584674746312e-05,"3107/3106/3122/3123/3134/3119",6
"GO:0032395","GO:0032395","MHC class II receptor activity","4/166","10/18352",1.2995465810832e-06,0.000149122970179297,0.000122088981433342,"3122/3123/3119/3118",4
"GO:0061134","GO:0061134","peptidase regulator activity","11/166","229/18352",7.77161941468104e-06,0.00071343466226772,0.000584098553903396,"26577/710/1075/114769/80760/5265/29108/25824/684/1475/5269",11
"GO:0023026","GO:0023026","MHC class II protein complex binding","4/166","16/18352",1.07947560344007e-05,0.000825798836631651,0.000676092614786147,"972/975/3122/3123",4
"GO:0016209","GO:0016209","antioxidant activity","7/166","86/18352",1.2871812203804e-05,0.000844023114506579,0.000691013076204217,"4259/847/2950/3240/25824/6647/6415",7
"GO:0004857","GO:0004857","enzyme inhibitor activity","13/166","383/18352",4.71021393252437e-05,0.00270248524378586,0.00221256101830421,"10628/710/114769/80760/5265/3958/341/25824/2644/9535/684/1475/5269",13
"GO:0001540","GO:0001540","amyloid-beta binding","6/166","77/18352",6.97763695253703e-05,0.00323185330899543,0.00264596177344655,"712/8685/4043/972/9445/4035",6
"GO:0023023","GO:0023023","MHC protein complex binding","4/166","25/18352",7.04107474726673e-05,0.00323185330899543,0.00264596177344655,"972/975/3122/3123",4
"GO:0031406","GO:0031406","carboxylic acid binding","9/166","212/18352",0.000136810945971797,0.00570874765464134,0.00467382848918004,"5468/2167/2950/341/23564/2644/2752/2348/8644",9
"GO:0043177","GO:0043177","organic acid binding","9/166","224/18352",0.000206744584276549,0.00790798034857799,0.00647436987602877,"5468/2167/2950/341/23564/2644/2752/2348/8644",9
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","8/166","183/18352",0.00026492919769877,0.00935403859567195,0.00765827721283084,"710/114769/80760/5265/25824/684/1475/5269",8
"GO:0030414","GO:0030414","peptidase inhibitor activity","8/166","189/18352",0.000329286668204986,0.0107958986218635,0.00883874740971279,"710/114769/80760/5265/25824/684/1475/5269",8
"GO:0061135","GO:0061135","endopeptidase regulator activity","8/166","192/18352",0.000365949199280532,0.0111980454979843,0.00916799046618596,"710/114769/80760/5265/25824/684/1475/5269",8
"GO:0005504","GO:0005504","fatty acid binding","4/166","39/18352",0.000414856265067406,0.0119011891041212,0.00974366359401736,"5468/2167/2950/341",4
"GO:0033293","GO:0033293","monocarboxylic acid binding","5/166","72/18352",0.000489184718412062,0.0132079873971257,0.0108135569333193,"5468/2167/2950/341/8644",5
"GO:0038024","GO:0038024","cargo receptor activity","5/166","73/18352",0.000521359150817816,0.0132946583458543,0.010884515604793,"8685/3959/4035/57007/2348",5
"GO:0003779","GO:0003779","actin binding","12/166","437/18352",0.000640208545858996,0.0154660906604884,0.0126622964471835,"79083/199/7114/6840/9124/51474/667/22921/9535/7136/4646/64236",12
"GO:0005044","GO:0005044","scavenger receptor activity","4/166","47/18352",0.000850523616743641,0.0195195170042666,0.0159808911146042,"8685/3959/4035/57007",4
"GO:0043178","GO:0043178","alcohol binding","5/166","86/18352",0.00110020204949217,0.0240472733674718,0.0196878261488073,"975/5950/706/9619/116362",5
"GO:0004601","GO:0004601","peroxidase activity","4/166","52/18352",0.00124650823316341,0.0260066945010002,0.0212920305856142,"4259/847/2950/25824",4
"GO:0140375","GO:0140375","immune receptor activity","6/166","135/18352",0.00143829806718536,0.0287034266451339,0.0234998814638523,"972/3122/57007/3123/3119/3118",6
"GO:0002020","GO:0002020","protease binding","6/166","137/18352",0.00155054249551285,0.0296541252266833,0.0242782311797408,"114769/5265/29108/4035/1475/5269",6
"GO:0016684","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","4/166","56/18352",0.00164445982260927,0.0301922823431063,0.0247188276493268,"4259/847/2950/25824",4
"GO:0051393","GO:0051393","alpha-actinin binding","3/166","27/18352",0.00181232296335449,0.0319944707761428,0.0261943035594152,"5468/9124/64236",3
