"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043312","GO:0043312","neutrophil degranulation","51/353","487/18866",8.25661125921961e-24,2.23878693963241e-20,1.57261468568912e-20,"PSAP/CSTB/FTL/CFD/CTSB/CD59/CD63/FABP5/CTSD/CTSZ/FTH1/MME/SLC2A5/CAMP/C3/GM2A/TNFAIP6/LAMP1/CD36/PLAUR/NPC2/CD300A/LGALS3/CHIT1/SDCBP/RNASET2/CR1/MMP9/GSTP1/STOM/ADAM8/CTSA/HP/TNFRSF1B/HLA-B/TIMP2/B4GALT1/PTPRJ/GNS/C3AR1/LYZ/LPCAT1/TYROBP/CYSTM1/CD14/PRCP/PRDX4/CREG1/CTSH/HSPA1B/NFKB1",51
"GO:0002283","GO:0002283","neutrophil activation involved in immune response","51/353","490/18866",1.09449373729279e-23,2.23878693963241e-20,1.57261468568912e-20,"PSAP/CSTB/FTL/CFD/CTSB/CD59/CD63/FABP5/CTSD/CTSZ/FTH1/MME/SLC2A5/CAMP/C3/GM2A/TNFAIP6/LAMP1/CD36/PLAUR/NPC2/CD300A/LGALS3/CHIT1/SDCBP/RNASET2/CR1/MMP9/GSTP1/STOM/ADAM8/CTSA/HP/TNFRSF1B/HLA-B/TIMP2/B4GALT1/PTPRJ/GNS/C3AR1/LYZ/LPCAT1/TYROBP/CYSTM1/CD14/PRCP/PRDX4/CREG1/CTSH/HSPA1B/NFKB1",51
"GO:1905954","GO:1905954","positive regulation of lipid localization","18/353","94/18866",1.27027268333464e-13,1.73222851584067e-10,1.21678751772055e-10,"PLTP/ABCA1/PLIN2/SPP1/NR1H3/APOE/CES1/C3/CD36/P2RX7/ABCG1/SCARB1/EEPD1/NFKBIA/P2RX4/FABP3/IL1B/NFKB1",18
"GO:0050727","GO:0050727","regulation of inflammatory response","32/353","425/18866",2.47867925159424e-11,2.53506920456801e-08,1.78073535706639e-08,"MGLL/NUPR1/NR1H3/APOE/PLD3/FABP4/CCL3/C3/TNFAIP6/MDK/BIRC3/TGM2/SOD1/CD81/AOAH/MMP9/GSTP1/ADAM8/DUSP10/TNFRSF1B/HLA-DRB1/MFHAS1/SIGLEC10/TNFAIP3/PIK3AP1/GBP5/NFKBIA/SPHK1/PLA2G7/TNIP1/IL1B/NFKB1",32
"GO:0034341","GO:0034341","response to interferon-gamma","22/353","202/18866",3.36144051790673e-11,2.75033063175129e-08,1.9319437081864e-08,"NR1H3/CCL18/HLA-A/CCL3/CCL4/GBP2/RAB20/HLA-DQA1/MT2A/HLA-DQB2/CCL23/ICAM1/HLA-B/HLA-DRB1/GBP4/AIF1/GBP5/FCGR1A/GBP1/CD40/KYNU/STAT1",22
"GO:0002697","GO:0002697","regulation of immune effector process","33/353","470/18866",7.61456261076371e-11,4.47283765584879e-08,3.14190245608902e-08,"SERPING1/CD59/RBP4/HLA-A/C2/C1S/CD84/C3/LAMP1/CD36/BIRC3/CD81/CD300A/LGALS3/P2RX7/C1QB/CR1/ICAM1/TFRC/DUSP10/A2M/TNFRSF1B/HLA-B/HMOX1/PTPRJ/TNFAIP3/LILRB1/C3AR1/TYROBP/C1QC/CD40/STAT1/IL1B",33
"GO:0006869","GO:0006869","lipid transport","30/353","393/18866",7.65335213662711e-11,4.47283765584879e-08,3.14190245608902e-08,"PSAP/PLTP/APOC1/ABCA1/PLIN2/SPP1/NR1H3/APOE/RBP4/FABP5/UGCG/SELENOM/FABP4/CES1/GM2A/CD36/NPC2/P2RX7/ABCG1/SCARB1/EEPD1/ACSL1/NMB/SOAT1/NPC1/NFKBIA/P2RX4/FABP3/IL1B/NFKB1",30
"GO:0033344","GO:0033344","cholesterol efflux","13/353","64/18866",1.53724082270366e-10,7.86106525710086e-08,5.521930849975e-08,"PLTP/APOC1/ABCA1/NR1H3/APOE/CES1/NPC2/ABCG1/SCARB1/EEPD1/SOAT1/NPC1/NFKBIA",13
"GO:0071346","GO:0071346","cellular response to interferon-gamma","20/353","182/18866",2.28071925484306e-10,9.9886420452139e-08,7.01642701782705e-08,"NR1H3/CCL18/HLA-A/CCL3/CCL4/GBP2/RAB20/HLA-DQA1/MT2A/HLA-DQB2/CCL23/ICAM1/HLA-B/HLA-DRB1/GBP4/AIF1/GBP5/FCGR1A/GBP1/STAT1",20
"GO:0071216","GO:0071216","cellular response to biotic stimulus","23/353","246/18866",2.63934133083257e-10,9.9886420452139e-08,7.01642701782705e-08,"ABCA1/NR1H3/CCL3/HAMP/CD36/KMO/LY86/SCARB1/GSTP1/ICAM1/CXCL5/TNFRSF1B/TNFAIP3/LILRB1/NFKBIA/CD14/CD40/LITAF/HSPA5/DDIT3/IL1B/CXCL3/NFKB1",23
"GO:0010876","GO:0010876","lipid localization","31/353","440/18866",2.70528874980489e-10,9.9886420452139e-08,7.01642701782705e-08,"PSAP/PLTP/APOC1/ABCA1/PLIN2/SPP1/NR1H3/APOE/RBP4/FABP5/UGCG/SELENOM/FABP4/CES1/C3/GM2A/CD36/NPC2/P2RX7/ABCG1/SCARB1/EEPD1/ACSL1/NMB/SOAT1/NPC1/NFKBIA/P2RX4/FABP3/IL1B/NFKB1",31
"GO:0019915","GO:0019915","lipid storage","14/353","81/18866",2.92993655689481e-10,9.9886420452139e-08,7.01642701782705e-08,"ABCA1/PLIN2/NR1H3/APOE/CES1/C3/GM2A/CD36/ABCG1/SCARB1/SOAT1/NFKBIA/IL1B/NFKB1",14
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","21/353","208/18866",3.92485165305617e-10,1.23512062405021e-07,8.67598786465048e-08,"ABCA1/NR1H3/CCL3/HAMP/CD36/KMO/LY86/SCARB1/GSTP1/ICAM1/CXCL5/TNFRSF1B/TNFAIP3/LILRB1/NFKBIA/CD14/CD40/LITAF/IL1B/CXCL3/NFKB1",21
"GO:0032370","GO:0032370","positive regulation of lipid transport","13/353","70/18866",5.02028115493554e-10,1.37127191484312e-07,9.63236971406224e-08,"PLTP/ABCA1/SPP1/NR1H3/APOE/CES1/P2RX7/ABCG1/EEPD1/NFKBIA/P2RX4/FABP3/IL1B",13
"GO:0051235","GO:0051235","maintenance of location","26/353","324/18866",5.05504210642157e-10,1.37127191484312e-07,9.63236971406224e-08,"ABCA1/PLIN2/FTL/NR1H3/APOE/FTH1/CCL3/CES1/C3/GM2A/CD36/CALM3/P2RX7/ABCG1/SCARB1/TPCN1/SRGN/CD4/SOAT1/MYO5A/NFKBIA/HSPA5/TXN/DDIT3/IL1B/NFKB1",26
"GO:1905952","GO:1905952","regulation of lipid localization","19/353","171/18866",5.36307764299436e-10,1.37127191484312e-07,9.63236971406224e-08,"PLTP/APOC1/ABCA1/PLIN2/SPP1/NR1H3/APOE/CES1/C3/CD36/P2RX7/ABCG1/SCARB1/EEPD1/NFKBIA/P2RX4/FABP3/IL1B/NFKB1",19
"GO:0030301","GO:0030301","cholesterol transport","15/353","105/18866",1.0875003479737e-09,2.61703760209436e-07,1.83831328171406e-07,"PLTP/APOC1/ABCA1/NR1H3/APOE/CES1/CD36/NPC2/ABCG1/SCARB1/EEPD1/SOAT1/NPC1/NFKBIA/NFKB1",15
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","21/353","222/18866",1.30061316384203e-09,2.95600469626542e-07,2.07641750718641e-07,"ABCA1/NR1H3/CCL3/HAMP/CD36/KMO/LY86/SCARB1/GSTP1/ICAM1/CXCL5/TNFRSF1B/TNFAIP3/LILRB1/NFKBIA/CD14/CD40/LITAF/IL1B/CXCL3/NFKB1",21
"GO:0010875","GO:0010875","positive regulation of cholesterol efflux","8/353","20/18866",1.43749439156924e-09,3.09515239784725e-07,2.17416049251193e-07,"PLTP/ABCA1/NR1H3/APOE/CES1/ABCG1/EEPD1/NFKBIA",8
"GO:0001819","GO:0001819","positive regulation of cytokine production","30/353","447/18866",1.67990802463214e-09,3.43625186438503e-07,2.41376258276091e-07,"HLA-A/CCL3/HIF1A/C3/MDK/CD36/BIRC3/SOD1/CD81/P2RX7/ADAM8/CD4/POLR2L/CD83/PTPRJ/NFKB2/LILRB1/C3AR1/TYROBP/AIF1/GBP5/CD14/SPHK1/CLEC4E/CD40/STAT1/DDIT3/IL1B/HSPA1B/NFKB1",30
"GO:0002683","GO:0002683","negative regulation of immune system process","30/353","463/18866",3.81103581886174e-09,7.42426073093494e-07,5.21510164686343e-07,"NR1H3/GPNMB/SERPING1/CD59/HLA-A/LILRB4/CCL3/ADTRP/CD84/MDK/CD300A/LGALS3/CR1/GPR137B/DUSP10/A2M/HLA-B/HLA-DRB1/HMOX1/PTPRJ/TNFAIP3/HLA-DOA/LILRB1/TYROBP/C1QC/NFKBIA/ZFP36L1/GBP1/TMEM176A/TMEM176B",30
"GO:0032496","GO:0032496","response to lipopolysaccharide","25/353","334/18866",4.58408175706984e-09,8.52430839462397e-07,5.98781971138788e-07,"ABCA1/NR1H3/SPARC/CCL3/HAMP/CD36/KMO/LY86/P2RX7/SCARB1/GSTP1/ICAM1/CXCL5/DUSP10/TNFRSF1B/NFKB2/TNFAIP3/LILRB1/NFKBIA/CD14/CD40/LITAF/IL1B/CXCL3/NFKB1",25
"GO:0007249","GO:0007249","I-kappaB kinase/NF-kappaB signaling","23/353","286/18866",4.98344379637649e-09,8.86402981346793e-07,6.22645380508367e-07,"SQSTM1/LGALS1/OPTN/CXXC5/CD36/BIRC3/TGM2/RELB/GSTP1/TFRC/FAIM/CD4/HLA-DRB1/HMOX1/TNFAIP3/NFKBIA/CD14/PRDX4/TNIP1/CD40/LITAF/STAT1/IL1B",23
