"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PGD",0,0.420721402846268,0.848,0.69,0
"FGR",0,0.400177699172621,0.776,0.555,0
"FABP3",0,0.387247343361945,0.274,0.097,0
"PRDX1",0,0.345371224393175,0.976,0.977,0
"SSBP3",0,0.369149961333983,0.272,0.094,0
"DNASE2B",0,0.556066340641143,0.416,0.133,0
"CSF1",0,0.416629930753301,0.39,0.156,0
"NRP2",0,0.463922511215387,0.545,0.231,0
"HEXB",0,0.415167438437894,0.947,0.919,0
"CDKN1A",0,0.533916277134605,0.387,0.169,0
"TREM2",0,0.552112922526819,0.766,0.527,0
"NCF1",0,0.694192961196363,0.87,0.651,0
"CYBB",0,0.464822410629677,0.943,0.855,0
"RPL39",0,0.42333493976145,0.989,0.992,0
"ATP6AP1",0,0.325401386101329,0.93,0.874,0
"ATP6V0D2",0,0.435309550288296,0.353,0.093,0
"UQCRB",0,0.333995000332623,0.969,0.945,0
"DCSTAMP",0,0.342792321707514,0.446,0.227,0
"FBP1",0,0.63579736504238,0.973,0.956,0
"TXN",0,0.428898472171036,0.973,0.966,0
"GSN",0,0.710968393267603,0.921,0.78,0
"LIPA",0,1.08897987950715,0.879,0.69,0
"CD9",0,0.802922513064881,0.978,0.945,0
"AC022509.2",0,0.286735257622227,0.243,0.048,0
"LTA4H",0,0.370954776395809,0.962,0.937,0
"TPT1",0,0.511999156053334,0.998,0.999,0
"TDRD3",0,0.509785659605074,0.477,0.199,0
"EVL",0,0.566485700290811,0.926,0.794,0
"WARS",0,0.38188159929137,0.729,0.508,0
"BCL2A1",0,0.603577049152,0.88,0.7,0
"LITAF",0,0.336892499245628,0.95,0.914,0
"IGSF6",0,0.536964382707559,0.914,0.801,0
"OTOA",0,0.264971862238773,0.302,0.101,0
"ITGAX",0,0.401743324792057,0.678,0.433,0
"CES1",0,0.591964987891421,0.927,0.835,0
"SCPEP1",0,0.440418521366168,0.905,0.813,0
"BIRC7",0,0.246078544764885,0.259,0.09,0
"ACP5",0,0.511616352692676,0.983,0.975,0
"GDF15",0,0.389230242915148,0.181,0.037,0
"CSTB",0,0.341264953719629,0.991,0.991,0
"MT-CO1",0,0.260262843360551,0.993,0.996,0
"EEF1A1",8.86804461396885e-303,0.242077343312375,0.997,1,1.77804294510076e-298
