"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00190","hsa00190","Oxidative phosphorylation","39/444","134/8096",1.02894164287304e-18,2.37350136873551e-16,1.75313035977966e-16,"UQCRH/ATP6V0D1/ATP5F1B/ATP5F1D/ATP5MC3/ATP6V1F/COX7B/TCIRG1/NDUFB7/COX8A/ATP5F1A/COX5B/COX5A/NDUFV2/ATP5F1C/NDUFS3/COX7A2/ATP5PB/ATP6V0B/PPA2/ATP5PF/NDUFA4/NDUFS7/COX6A1/ATP5MC2/SDHD/COX6B1/NDUFB10/ATP5PO/UQCRFS1/UQCRC1/CYCS/NDUFB6/CYC1/NDUFA12/ATP5MF/COX7A2L/NDUFA5/NDUFS1",39
"hsa05020","hsa05020","Prion disease","56/444","273/8096",1.60915347032916e-18,2.37350136873551e-16,1.75313035977966e-16,"CYBB/NCF2/NCF1/CYBA/UQCRH/ATP5F1B/ATP5F1D/ATP5MC3/VDAC1/RAC2/SLC25A5/HSPA8/COX7B/TUBB/NDUFB7/COX8A/ATP5F1A/COX5B/COX5A/NDUFV2/ATP5F1C/NDUFS3/COX7A2/MAPK1/NOTCH1/ATP5PB/ATP5PF/SLC25A6/NDUFA4/PPP3CA/NDUFS7/COX6A1/PSMB3/ATP5MC2/SDHD/COX6B1/PSMA4/TUBB6/NDUFB10/ATP5PO/ADRM1/BAX/UQCRFS1/UQCRC1/CYCS/NDUFB6/CYC1/NDUFA12/STIP1/TUBB4B/PRKCD/COX7A2L/PSMA1/NDUFA5/C1QA/NDUFS1",56
"hsa05415","hsa05415","Diabetic cardiomyopathy","47/444","203/8096",7.03498605569824e-18,6.91773628810327e-16,5.10962145098082e-16,"CYBB/NCF2/NCF1/CYBA/ACE/UQCRH/ATP5F1B/ATP5F1D/TGFB1/ATP5MC3/VDAC1/RAC2/PPP1CC/SLC25A5/COX7B/NDUFB7/COX8A/ATP5F1A/COX5B/TGFBR1/COX5A/NDUFV2/ATP5F1C/PPP1CA/NDUFS3/COX7A2/ATP5PB/PDK4/ATP5PF/SLC25A6/NDUFA4/NDUFS7/COX6A1/ATP5MC2/SDHD/COX6B1/NDUFB10/ATP5PO/UQCRFS1/UQCRC1/NDUFB6/CYC1/NDUFA12/PRKCD/COX7A2L/NDUFA5/NDUFS1",47
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species","48/444","223/8096",7.21806722439849e-17,5.32332457799389e-15,3.93194714592234e-15,"NCF2/NCF1/CYBA/FOS/UQCRH/CYP1B1/ATP5F1B/ATP5F1D/ATP5MC3/VDAC1/SLC25A5/COX7B/NDUFB7/COX8A/ATP5F1A/CAT/COX5B/COX5A/MGST3/NDUFV2/MGST1/ATP5F1C/NDUFS3/COX7A2/MAPK1/ATP5PB/ATP5PF/SLC25A6/NDUFA4/NDUFS7/COX6A1/ATP5MC2/SDHD/COX6B1/GRB2/MAP2K2/NDUFB10/ATP5PO/UQCRFS1/UQCRC1/NDUFB6/KRAS/CYC1/NDUFA12/PRKCD/COX7A2L/NDUFA5/NDUFS1",48
"hsa05010","hsa05010","Alzheimer disease","63/444","384/8096",1.12810141126944e-15,6.65579832648971e-14,4.91614720279525e-14,"CYBB/CALM1/RTN4/UQCRH/CALM2/EIF2AK2/ATP5F1B/ATP5F1D/ATP5MC3/VDAC1/ADAM10/SLC25A5/FRAT2/COX7B/TUBB/NDUFB7/COX8A/ATP5F1A/COX5B/COX5A/NDUFV2/ATP5F1C/NDUFS3/COX7A2/MAPK1/LPL/ATP5PB/RTN3/ATP5PF/SLC25A6/SLC39A10/NDUFA4/LRP1/PPP3CA/NDUFS7/COX6A1/CAPN2/PSMB3/ATP5MC2/SDHD/COX6B1/PSMA4/TUBB6/MAP2K2/NDUFB10/ATP5PO/ADAM17/ADRM1/UQCRFS1/UQCRC1/CYCS/NDUFB6/KRAS/CYC1/NDUFA12/XBP1/TUBB4B/COX7A2L/NCSTN/PSMA1/NDUFA5/GNAQ/NDUFS1",63
"hsa05012","hsa05012","Parkinson disease","49/444","266/8096",2.36793406099819e-14,1.16423424665744e-12,8.59933948467762e-13,"CALM1/UQCRH/CALM2/ATP5F1B/ATP5F1D/ATP5MC3/VDAC1/SLC25A5/GNAI2/COX7B/TUBB/NDUFB7/COX8A/ATP5F1A/COX5B/COX5A/NDUFV2/ATP5F1C/NDUFS3/COX7A2/ATP5PB/ATP5PF/SLC25A6/SLC39A10/NDUFA4/NDUFS7/COX6A1/PSMB3/ATP5MC2/SDHD/COX6B1/PSMA4/TUBB6/NDUFB10/ATP5PO/ADRM1/BAX/UQCRFS1/UQCRC1/CYCS/NDUFB6/CYC1/NDUFA12/XBP1/TUBB4B/COX7A2L/PSMA1/NDUFA5/NDUFS1",49
"hsa05014","hsa05014","Amyotrophic lateral sclerosis","55/444","365/8096",3.26262546299091e-12,1.29260413145517e-10,9.54751312082857e-11,"PFN1/ACTB/ACTG1/UQCRH/ANXA11/HNRNPA2B1/ATP5F1B/ATP5F1D/ATP5MC3/VDAC1/COX7B/TUBB/HNRNPA1/NDUFB7/COX8A/ATP5F1A/CAT/COX5B/RAB8A/CASP1/COX5A/NDUFV2/ATP5F1C/NDUFS3/COX7A2/ATP5PB/ATP5PF/NDUFA4/PPP3CA/NDUFS7/COX6A1/PSMB3/ATP5MC2/CHCHD10/SDHD/COX6B1/PSMA4/TUBB6/NDUFB10/ATP5PO/NUP214/ADRM1/BAX/UQCRFS1/UQCRC1/CYCS/NDUFB6/CYC1/NDUFA12/XBP1/TUBB4B/COX7A2L/PSMA1/NDUFA5/NDUFS1",55
"hsa04714","hsa04714","Thermogenesis","42/444","232/8096",3.50536713614962e-12,1.29260413145517e-10,9.54751312082857e-11,"ACTB/ACTG1/UQCRH/PPARG/ATP5F1B/ATP5F1D/ATP5MC3/COX7B/NDUFB7/COX8A/ATP5F1A/COX5B/RPS6KA1/COX5A/NDUFV2/RHEB/ATP5F1C/NDUFS3/COX7A2/ATP5PB/ATP5PF/NDUFA4/NDUFS7/COX6A1/ATP5MC2/SDHD/COX6B1/GRB2/NDUFB10/ATP5PO/RPS6KA3/UQCRFS1/UQCRC1/NDUFB6/KRAS/CYC1/NDUFA12/ATP5MF/COX7A2L/NDUFA5/ADCY7/NDUFS1",42
"hsa05016","hsa05016","Huntington disease","49/444","306/8096",5.79063203570461e-12,1.89804050059207e-10,1.4019424928548e-10,"UQCRH/AP2S1/PPARG/ATP5F1B/ATP5F1D/ATP5MC3/VDAC1/SLC25A5/COX7B/TUBB/NDUFB7/COX8A/ATP5F1A/COX5B/COX5A/NDUFV2/ATP5F1C/NDUFS3/COX7A2/ATP5PB/AP2M1/ATP5PF/SLC25A6/NDUFA4/CLTA/NDUFS7/COX6A1/PSMB3/ATP5MC2/SDHD/COX6B1/PSMA4/TUBB6/NDUFB10/ATP5PO/ADRM1/BAX/UQCRFS1/UQCRC1/CYCS/NDUFB6/CYC1/NDUFA12/TUBB4B/COX7A2L/PSMA1/NDUFA5/GNAQ/NDUFS1",49
"hsa05135","hsa05135","Yersinia infection","31/444","137/8096",7.03679839398864e-12,2.07585552622665e-10,1.5332813342691e-10,"ARPC2/PYCARD/ACTB/ARPC5/ACTG1/FOS/RHOA/ARPC3/FN1/FCGR2A/ACTR2/RAC2/ARHGEF28/ACTR3/ITGA5/CASP1/ARPC1B/RPS6KA1/ARHGEF1/ROCK1/NLRC4/MAPK1/SKAP2/ARF6/MAP2K2/RHOG/RPS6KA3/WASF2/MYD88/GNAQ/CCL2",31
