"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","79/926","105/18866",1.34623409983622e-81,6.98695497814999e-78,5.90359079991337e-78,"RPL18/RPS23/RPS3A/RPS14/RPL10/RPL19/RPL13/RPL41/RPS19/RPS2/RPS24/RPS27A/RPL34/RPL7A/RPS6/RPL5/RPL37/RPL32/RPL18A/RPS27/RPS18/RPL35A/RPS4X/RPL11/RPS7/RPL8/RPL24/RPL15/RPS15A/RPLP2/RPS3/RPL26/RPL6/RPL14/RPL3/RPS9/RPL30/RPL29/RPS15/RPL23A/RPS13/RPS8/RPL4/RPS16/RPSA/RPL10A/RPLP1/RPS12/RPS5/RPL13A/RPS25/RPL9/RPL36/RPS21/RPS11/UBA52/RPL21/RPL37A/RPL28/RPL35/RPL27/RPL39/RPL12/RPL7/RPS29/RPL22/RPL31/RPLP0/RPS28/RPL27A/RPS26/RPL23/RPL38/RPS20/RPS10/RPL36A/RPL17/SEC61B/SRP19",79
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","80/926","109/18866",4.03492118099113e-81,1.0470620464672e-77,8.84709560000475e-78,"RPL18/RPS23/RPS3A/RPS14/RPL10/RPL19/RPL13/RPL41/RPS19/RPS2/RPS24/RPS27A/RPL34/RPL7A/RPS6/RPL5/RPL37/RPL32/RPL18A/RPS27/RPS18/RPL35A/RPS4X/RPL11/RPS7/RPL8/RPL24/RPL15/RPS15A/RPLP2/RPS3/RPL26/RPL6/RPL14/RPL3/RPS9/RPL30/RPL29/RPS15/RPL23A/RPS13/RPS8/RPL4/RPS16/RPSA/RPL10A/RPLP1/RPS12/RPS5/RPL13A/RPS25/RPL9/RPL36/RPS21/RPS11/UBA52/RPL21/RPL37A/RPL28/RPL35/RPL27/RPL39/RPL12/RPL7/RPS29/RPL22/RPL31/RPLP0/RPS28/RPL27A/RPS26/RPL23/RPL38/RPS20/RPS10/RPL36A/SSR2/RPL17/SEC61B/SRP19",80
"GO:0045047","GO:0045047","protein targeting to ER","81/926","120/18866",2.861396079289e-77,4.95021521716996e-74,4.1826582688835e-74,"RPL18/RPS23/RPS3A/RPS14/RPL10/RPL19/RPL13/RPL41/RPS19/RPS2/RPS24/RPS27A/RPL34/RPL7A/RPS6/RPL5/RPL37/RPL32/RPL18A/RPS27/RPS18/RPL35A/RPS4X/RPL11/RPS7/RPL8/RPL24/RPL15/RPS15A/RPLP2/RPS3/RPL26/RPL6/RPL14/RPL3/RPS9/RPL30/RPL29/RPS15/RPL23A/RPS13/RPS8/RPL4/RPS16/RPSA/RPL10A/RPLP1/RPS12/RPS5/RPL13A/RPS25/RPL9/RPL36/RPS21/RPS11/UBA52/RPL21/RPL37A/RPL28/RPL35/RPL27/RPL39/RPL12/RPL7/RPS29/RPL22/RPL31/RPLP0/RPS28/RPL27A/RPS26/RPL23/RPL38/RPS20/RPS10/RPL36A/RPL17/SPCS1/SEC61B/CHMP4A/SRP19",81
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","81/926","124/18866",1.81293336492629e-75,2.35228104099185e-72,1.98754747323234e-72,"RPL18/RPS23/RPS3A/RPS14/RPL10/RPL19/RPL13/RPL41/RPS19/RPS2/RPS24/RPS27A/RPL34/RPL7A/RPS6/RPL5/RPL37/RPL32/RPL18A/RPS27/RPS18/RPL35A/RPS4X/RPL11/RPS7/RPL8/RPL24/RPL15/RPS15A/RPLP2/RPS3/RPL26/RPL6/RPL14/RPL3/RPS9/RPL30/RPL29/RPS15/RPL23A/RPS13/RPS8/RPL4/RPS16/RPSA/RPL10A/RPLP1/RPS12/RPS5/RPL13A/RPS25/RPL9/RPL36/RPS21/RPS11/UBA52/RPL21/RPL37A/RPL28/RPL35/RPL27/RPL39/RPL12/RPL7/RPS29/RPL22/RPL31/RPLP0/RPS28/RPL27A/RPS26/RPL23/RPL38/RPS20/RPS10/RPL36A/RPL17/SPCS1/SEC61B/CHMP4A/SRP19",81
"GO:0006413","GO:0006413","translational initiation","97/926","192/18866",3.70128945076625e-75,3.84193844989537e-72,3.24622565302994e-72,"RPL18/RPS23/RPS3A/RPS14/RPL10/RPL19/RPL13/RPL41/RPS19/RPS2/RPS24/RPS27A/RPL34/RPL7A/RPS6/RPL5/RPL37/RPL32/RPL18A/RPS27/RPS18/RPL35A/RPS4X/RPL11/RPS7/RPL8/RPL24/RPL15/RPS15A/RPLP2/RPS3/RPL26/RPL6/RPL14/RPL3/RPS9/RPL30/RPL29/RPS15/RPL23A/RPS13/RPS8/RPL4/RPS16/RPSA/RPL10A/RPLP1/RPS12/RPS5/RPL13A/RPS25/RPL9/RPL36/RPS21/RPS11/UBA52/EIF1/RPL21/RPL37A/RPL28/RPL35/RPL27/RPL39/RPL12/RPL7/RPS29/RPL22/NPM1/BANK1/RPL31/RPLP0/ATF4/PABPC1/EIF3L/RPS28/RPL27A/TNF/EIF3E/RPS26/EIF3G/EIF3D/EIF2AK4/RPL23/RPL38/EIF3F/EIF3H/RPS20/RPS10/RPL36A/EIF3M/EIF2S2/EIF4B/MIF4GD/RPL17/EIF4A2/CDC123/EIF2S3",97
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","79/926","120/18866",5.0650694226953e-74,4.38128505063143e-71,3.70194372192081e-71,"RPL18/RPS23/RPS3A/RPS14/RPL10/RPL19/RPL13/RPL41/RPS19/RPS2/RPS24/RPS27A/RPL34/RPL7A/RPS6/RPL5/RPL37/RPL32/RPL18A/RPS27/RPS18/RPL35A/RPS4X/RPL11/RPS7/RPL8/RPL24/RPL15/RPS15A/RPLP2/RPS3/RPL26/RPL6/RPL14/RPL3/RPS9/RPL30/RPL29/RPS15/RPL23A/RPS13/RPS8/RPL4/RPS16/RPSA/RPL10A/RPLP1/RPS12/RPS5/RPL13A/RPS25/RPL9/RPL36/RPS21/RPS11/UBA52/RPL21/RPL37A/RPL28/RPL35/RPL27/RPL39/RPL12/RPL7/RPS29/RPL22/RPL31/RPLP0/PABPC1/RPS28/RPL27A/EIF3E/RPS26/RPL23/RPL38/RPS20/RPS10/RPL36A/RPL17",79
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","84/926","152/18866",1.97107392049802e-69,1.46141052105496e-66,1.23481112072102e-66,"RPL18/RPS23/RPS3A/RPS14/RPL10/RPL19/RPL13/RPL41/RPS19/RPS2/RPS24/RPS27A/RPL34/RPL7A/RPS6/RPL5/RPL37/RPL32/RPL18A/RPS27/RPS18/RPL35A/RPS4X/RPL11/RPS7/RPL8/RPL24/RPL15/RPS15A/RPLP2/RPS3/RPL26/RPL6/RPL14/RPL3/RPS9/RPL30/RPL29/RPS15/RPL23A/RPS13/RPS8/RPL4/RPS16/RPSA/RPL10A/RPLP1/RPS12/RPS5/RPL13A/RPS25/RPL9/RPL36/RPS21/RPS11/UBA52/RPL21/RPL37A/RPL28/RPL35/RPL27/RPL39/RPL12/RPL7/RPS29/RPL22/GABARAPL2/RPL31/RPLP0/INSIG1/RPS28/RPL27A/RPS26/RPL23/RPL38/RPS20/LRRK2/RPS10/RPL36A/RPL17/SPCS1/SEC61B/CHMP4A/SRP19",84
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process","90/926","210/18866",1.01793047045199e-61,6.60382392705728e-59,5.57986623671446e-59,"RPL18/RPS23/RPS3A/RPS14/RPL10/RPL19/RPL13/RPL41/RPS19/RPS2/RPS24/RPS27A/RPL34/RPL7A/RPS6/RPL5/RPL37/RPL32/RPL18A/RPS27/RPS18/RPL35A/RPS4X/RPL11/RPS7/RPL8/RPL24/RPL15/RPS15A/RPLP2/RPS3/RPL26/RPL6/RPL14/RPL3/RPS9/RPL30/RPL29/RPS15/RPL23A/RPS13/RPS8/RPL4/RPS16/RPSA/RPL10A/RPLP1/RPS12/RPS5/RPL13A/RPS25/RPL9/RPL36/RPS21/RPS11/UBA52/RPL21/RPL37A/RPL28/RPL35/RPL27/RPL39/RPL12/RPL7/RPS29/RPL22/RPL31/RPLP0/PABPC1/BTG2/RPS28/RPL27A/ZFP36L1/EIF3E/RPS26/DDX5/RPL23/RPL38/RPS20/RPS10/RPL36A/PAN3/ZFP36/CNOT10/RPL17/NBDY/LSM4/DDX6/LSM2/LSM5",90
"GO:0019080","GO:0019080","viral gene expression","87/926","195/18866",1.69359829366592e-61,9.76641682680679e-59,8.25208244609615e-59,"RPL18/RPS23/RPS3A/RPS14/RPL10/RPL19/RPL13/RPL41/RPS19/RPS2/RPS24/RPS27A/RPL34/RPL7A/RPS6/RPL5/RPL37/RPL32/RPL18A/RPS27/RPS18/RPL35A/RPS4X/RPL11/RPS7/RPL8/RPL24/RPL15/RPS15A/RPLP2/RPS3/RPL26/RPL6/RPL14/RPL3/RPS9/RPL30/RPL29/RPS15/RPL23A/RPS13/RPS8/RPL4/RPS16/RPSA/RPL10A/RPLP1/RPS12/RPS5/RPL13A/RPS25/RPL9/RPL36/RPS21/RPS11/UBA52/RPL21/RPL37A/RPL28/RPL35/RPL27/RPL39/RPL12/RPL7/RPS29/RPL22/RPL31/RPLP0/EIF3L/RPS28/RPL27A/RPS26/EIF3G/TRIM13/EIF3D/EIF2AK4/RPL23/RPL38/EIF3F/RPS20/RPS10/RPL36A/ZFP36/RPL17/SPCS1/RSF1/IFITM3",87
"GO:0019083","GO:0019083","viral transcription","81/926","178/18866",4.01784295666157e-58,2.08526049450736e-55,1.76192986920549e-55,"RPL18/RPS23/RPS3A/RPS14/RPL10/RPL19/RPL13/RPL41/RPS19/RPS2/RPS24/RPS27A/RPL34/RPL7A/RPS6/RPL5/RPL37/RPL32/RPL18A/RPS27/RPS18/RPL35A/RPS4X/RPL11/RPS7/RPL8/RPL24/RPL15/RPS15A/RPLP2/RPS3/RPL26/RPL6/RPL14/RPL3/RPS9/RPL30/RPL29/RPS15/RPL23A/RPS13/RPS8/RPL4/RPS16/RPSA/RPL10A/RPLP1/RPS12/RPS5/RPL13A/RPS25/RPL9/RPL36/RPS21/RPS11/UBA52/RPL21/RPL37A/RPL28/RPL35/RPL27/RPL39/RPL12/RPL7/RPS29/RPL22/RPL31/RPLP0/RPS28/RPL27A/RPS26/TRIM13/RPL23/RPL38/RPS20/RPS10/RPL36A/ZFP36/RPL17/RSF1/IFITM3",81
