NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
METHYLCYTOSINE_DIOXYGENASE_TET_UNIPROT_A0A023HHK9_UNREVIEWED_TARGET_GENES	177	124		
IGLV5_37_TARGET_GENES	636	452		
BDP1_TARGET_GENES	918		Rejected!	
ZSCAN5C_TARGET_GENES	147	124		
SMCHD1_TARGET_GENES	72	36		
ZSCAN5B_TARGET_GENES	84	60		
AHRR_TARGET_GENES	1376		Rejected!	
OVOL3_TARGET_GENES	508	450		
FOXE1_TARGET_GENES	728		Rejected!	
FOXN3_TARGET_GENES	1502		Rejected!	
KMT2D_TARGET_GENES	796		Rejected!	
ZNF197_TARGET_GENES	655		Rejected!	
PRMT5_TARGET_GENES	102	66		
TERT_TARGET_GENES	127	87		
ZNF213_TARGET_GENES	595		Rejected!	
XPO1_TARGET_GENES	29	22		
SETD1A_TARGET_GENES	1428		Rejected!	
ZBTB5_TARGET_GENES	182	164		
TBX3_TARGET_GENES	351	313		
ZBTB7B_TARGET_GENES	1935		Rejected!	
TP73_TARGET_GENES	875		Rejected!	
FOXP2_TARGET_GENES	1931		Rejected!	
NKX2_8_TARGET_GENES	41	31		
MAFG_TARGET_GENES	1893		Rejected!	
PER1_TARGET_GENES	33	22		
ZBTB24_TARGET_GENES	1595		Rejected!	
HOXC11_TARGET_GENES	54	43		
HOXA2_TARGET_GENES	1586		Rejected!	
TBX1_TARGET_GENES	188	147		
CBFA2T2_TARGET_GENES	1694		Rejected!	
LAMTOR5_TARGET_GENES	5		Rejected!	
CREB3_TARGET_GENES	404	353		
SOX15_TARGET_GENES	5		Rejected!	
ZNF292_TARGET_GENES	24	19		
SYNCRIP_TARGET_GENES	21	15		
CREBL2_TARGET_GENES	11		Rejected!	
FOXD2_TARGET_GENES	1253		Rejected!	
LMX1B_TARGET_GENES	30	22		
ZNF354A_TARGET_GENES	31	18		
ZNF623_TARGET_GENES	95	84		
ZBED4_TARGET_GENES	171	158		
PHF2_TARGET_GENES	1485		Rejected!	
ZC3H11A_TARGET_GENES	593		Rejected!	
NR1I2_TARGET_GENES	342	301		
PSIP1_TARGET_GENES	63	45		
FOXH1_TARGET_GENES	924		Rejected!	
GCM2_TARGET_GENES	1980		Rejected!	
WDHD1_TARGET_GENES	203	168		
KLF7_TARGET_GENES	925		Rejected!	
TOX4_TARGET_GENES	191	162		
NKX2_2_TARGET_GENES	1319		Rejected!	
ZNF202_TARGET_GENES	82	60		
PGM3_TARGET_GENES	269	242		
SVIL_TARGET_GENES	22		Rejected!	
WIZ_TARGET_GENES	19	15		
SNAI1_TARGET_GENES	509	404		
CBX7_TARGET_GENES	962		Rejected!	
PTTG1_TARGET_GENES	80	64		
HAND1_TARGET_GENES	481	385		
EGFR_TARGET_GENES	8		Rejected!	
F10_TARGET_GENES	277	216		
HBZ_TARGET_GENES	778		Rejected!	
NPM1_TARGET_GENES	356	306		
GLI1_TARGET_GENES	617	437		
SNRNP70_TARGET_GENES	1009		Rejected!	
HMGB1_TARGET_GENES	1523		Rejected!	
HOXB7_TARGET_GENES	27	24		
HOXC6_TARGET_GENES	1197		Rejected!	
ZSCAN5DP_TARGET_GENES	1363		Rejected!	
GLI3_TARGET_GENES	742		Rejected!	
GLI4_TARGET_GENES	855		Rejected!	
MYBL1_TARGET_GENES	200	163		
RARB_TARGET_GENES	7		Rejected!	
THRA_TARGET_GENES	110	79		
MTHFD1_TARGET_GENES	12		Rejected!	
SKIL_TARGET_GENES	1946		Rejected!	
ZNF250_TARGET_GENES	505	446		
RAG1_TARGET_GENES	1046		Rejected!	
YBX3_TARGET_GENES	54	53		
ZNF708_TARGET_GENES	96	77		
ZNF16_TARGET_GENES	77	67		
ZNF19_TARGET_GENES	13		Rejected!	
ZNF20_TARGET_GENES	6		Rejected!	
